,Year,Month,level_1,y_test_values,predictions
79,2018,5,Golden Gate,46228,46218
113,2018,5,Fuller Park,96468,94713
132,2018,5,Arcadia Terrace,347780,347406
147,2018,5,South Commons,115825,114947
154,2018,5,Oakland,322803,324039
160,2018,5,Jackson Park Highlands,483660,475810
169,2018,5,Heart of Italy,243673,241396
178,2018,5,Parkview,174019,174544
234,2018,5,Bucktown,582460,581250
339,2018,5,Gold Coast,537390,539060
394,2018,5,Clearing,222147,221551
427,2018,5,Bronzeville,247806,247893
511,2018,5,Schorsch Village,291728,291859
547,2018,5,Irving Woods,269579,266655
549,2018,5,Old Irving Park,411733,411475
593,2018,5,Old Town,416634,417683
596,2018,5,Pilsen,310189,309810
600,2018,5,Brynford Park,382961,383349
602,2018,5,Lake View,536809,535755
657,2018,5,West Rogers Park,299264,298699
669,2018,5,Schorsch Forest View,337081,338372
671,2018,5,Forest Glen,380217,381738
673,2018,5,West Chesterfield,132200,131527
800,2018,5,Uptown,295414,295677
818,2018,5,Near West Side,413791,410969
850,2018,5,Eden Green,56396,57434
891,2018,5,Longwood Manor,134037,133536
893,2018,5,Dearborn Park,456758,456785
952,2018,5,Chicago Lawn,150513,151230
957,2018,5,Archer Heights,203730,204343
1012,2018,5,Kennedy Park,221866,222338
1021,2018,5,River North,362235,362839
1056,2018,5,Greektown,427318,427317
1077,2018,5,Norwood Park West,323408,322343
1095,2018,5,Rogers Park,218604,217349
1115,2018,5,The Island,180182,177935
1162,2018,5,West Chatham,106276,107546
1192,2018,5,East Side,121309,120404
1224,2018,5,East Garfield Park,146358,144049
1226,2018,5,Riverdale,63625,64918
5,2018,6,Lathrop Homes,585441,586592
15,2018,6,Brynford Park,380710,377018
58,2018,6,Sheffield Neighbors,1045454,1048594
60,2018,6,Illinois Medical District,208304,203285
99,2018,6,Archer Heights,205310,204343
107,2018,6,South Chicago,107016,106783
123,2018,6,Fifth City,169478,166514
128,2018,6,The Loop,411119,413703
131,2018,6,Longwood Manor,133685,133536
171,2018,6,Wrigleyville,481997,483862
191,2018,6,Morgan Park,144410,143229
253,2018,6,West Pullman,91240,89869
292,2018,6,Peterson Park,384174,386322
307,2018,6,Princeton Park,110888,110840
311,2018,6,Clearing,222924,223135
316,2018,6,West Beverly,249936,250630
351,2018,6,Montclare,257780,257550
366,2018,6,Graceland West,646670,646249
445,2018,6,Englewood,52577,52758
447,2018,6,Ida B. Wells - Darrow Homes,311529,310049
465,2018,6,Ashburn,175208,174914
474,2018,6,Irving Park,402263,404584
478,2018,6,Portage Park,296447,297639
479,2018,6,The Robert Taylor Homes,93419,92174
510,2018,6,Sleepy Hollow,185440,181853
527,2018,6,Wicker Park,571117,572756
542,2018,6,West Chesterfield,132673,134622
545,2018,6,Budlong Woods,310167,311011
551,2018,6,Kelvin Park,270286,269017
640,2018,6,Sauganash Woods,410130,408854
642,2018,6,Hegewisch,127875,126792
675,2018,6,Jackson Park Highlands,499134,475810
723,2018,6,Mount Greenwood,239130,238532
748,2018,6,Rogers Park,219723,217349
758,2018,6,Streeterville,482331,484383
838,2018,6,West De Paul,778530,781669
844,2018,6,Arcadia Terrace,347950,346781
857,2018,6,West Town,492793,495059
863,2018,6,West Rogers Park,299783,299371
879,2018,6,Wrightwood,178730,179710
908,2018,6,Albany Park,329387,331541
928,2018,6,East Beverly,233567,232615
933,2018,6,Hollywood Park,343396,345586
965,2018,6,Jefferson Park,305118,305239
991,2018,6,Ravenswood Gardens,586445,587932
1069,2018,6,Vittum Park,208607,209602
1094,2018,6,Bridgeport,340515,339010
1121,2018,6,Belmont Terrace,269177,267054
1211,2018,6,Big Oaks,300337,300310
1212,2018,6,Old Edgebrook,671255,673834
1221,2018,6,Lithuanian Plaza,147016,150097
1229,2018,6,Union Ridge,289363,289376
1245,2018,6,Old Irving Park,411468,409847
12,2018,7,Princeton Park,112154,112082
35,2018,7,South Commons,118404,117318
43,2018,7,Bucktown,576971,581250
62,2018,7,Lake Calumet,108137,109437
69,2018,7,Gladstone Park,307428,308591
77,2018,7,Dearborn Park,456797,457181
98,2018,7,Marycrest,245646,246633
118,2018,7,Roseland,81554,79182
119,2018,7,O'Hare International Airport,336390,333899
125,2018,7,East Pilsen,339931,341734
130,2018,7,Union Ridge,286698,284442
137,2018,7,North Park,344488,346645
146,2018,7,Jackson Park Highlands,510513,521031
214,2018,7,Belmont Heights,266517,267131
224,2018,7,Albany Park,326011,323341
242,2018,7,Belmont Gardens,275851,277333
258,2018,7,Longwood Manor,134020,134376
303,2018,7,Eden Green,58923,57434
388,2018,7,Kennedy Park,223236,222338
406,2018,7,Archer Heights,204901,204343
435,2018,7,Edgebrook,450628,454249
437,2018,7,Belmont Terrace,268682,267054
482,2018,7,Near North,427209,430779
579,2018,7,Dunning,257986,260252
583,2018,7,South Deering,89529,89378
626,2018,7,Lake View,533046,535755
656,2018,7,Brainerd,137617,138576
676,2018,7,Chrysler Village,161089,161142
683,2018,7,Irving Woods,272002,271838
687,2018,7,Little Village,143089,142810
688,2018,7,Sheffield Neighbors,1040171,1036926
737,2018,7,Fifth City,172705,176240
753,2018,7,South Old Irving Park,343100,347321
841,2018,7,Rogers Park,219828,219295
851,2018,7,Vittum Park,207458,205269
881,2018,7,Schorsch Village,290580,291859
911,2018,7,Lithuanian Plaza,146245,145351
945,2018,7,Bridgeport,340797,341634
961,2018,7,Lake View East,316210,317646
966,2018,7,Pill Hill,142377,143486
973,2018,7,Norwood Park East,334968,336271
986,2018,7,North Kenwood,288547,289084
1042,2018,7,Budlong Woods,308801,307319
1057,2018,7,Fernwood,78833,77320
1059,2018,7,Humboldt Park,277282,277495
1072,2018,7,Parkview,174310,174544
1175,2018,7,Streeterville,479437,476209
1198,2018,7,Sleepy Hollow,187328,187328
4,2018,8,Mount Greenwood Heights,276334,273800
8,2018,8,Roscoe Village,744028,745377
36,2018,8,Norwood Park West,323025,324225
42,2018,8,Belmont Terrace,269014,269670
61,2018,8,Beverly Woods,209881,210619
78,2018,8,Altgeld Gardens,92964,90321
102,2018,8,West Elsdon,190150,190086
134,2018,8,Parkview,174051,174243
142,2018,8,Ravenswood Manor,606328,615747
177,2018,8,Sauganash,430946,434262
187,2018,8,Humboldt Park,277796,277217
196,2018,8,East Beverly,231710,233160
210,2018,8,West Lawn,195266,194879
223,2018,8,North Kenwood,285526,284016
271,2018,8,Longwood Manor,134172,134376
277,2018,8,Rosemoor,133076,130448
282,2018,8,Ashburn,173398,174210
293,2018,8,Ranch Triangle,731060,732105
378,2018,8,Pulaski Park,361051,362956
381,2018,8,Lathrop Homes,580022,581949
403,2018,8,Magnolia Glen,404092,407525
446,2018,8,The Bush,70375,70665
454,2018,8,Old Irving Park,407511,409847
473,2018,8,Old Edgebrook,662506,666830
495,2018,8,Forest Glen,374404,376066
523,2018,8,Noble Square,473775,475301
558,2018,8,Belmont Central,258580,259819
597,2018,8,Roseland,84376,86634
606,2018,8,Edison Park,362227,363716
624,2018,8,Bowmanville,510722,511563
635,2018,8,Edgebrook,446405,443574
637,2018,8,Homan Square,180760,179821
681,2018,8,Garfield Ridge,231614,232753
685,2018,8,West Morgan Park,262267,261139
696,2018,8,Hermosa,242465,241351
721,2018,8,Groveland Park,364720,358806
734,2018,8,Wicker Park,563924,567253
788,2018,8,Riverdale,65337,65589
805,2018,8,Eden Green,60337,61223
837,2018,8,West Woodlawn,96337,94925
854,2018,8,Archer Heights,203474,200990
871,2018,8,Old Town,408757,411263
921,2018,8,South Shore,103990,106238
930,2018,8,Norwood Park East,334046,333430
950,2018,8,Lake Calumet,107864,108858
1016,2018,8,Bucktown,573864,572165
1040,2018,8,West Pullman,93342,92690
1046,2018,8,Kennedy Park,224018,222338
1054,2018,8,Graceland West,641933,644189
1075,2018,8,West Beverly,251435,250486
1153,2018,8,Hyde Park,388995,387533
1187,2018,8,The Island,185015,184675
1214,2018,8,Montclare,257718,257671
1242,2018,8,O'Hare International Airport,339395,340489
1244,2018,8,Winneconna Parkway,103569,104842
38,2018,9,East Hyde Park,234867,236418
74,2018,9,Portage Park,290796,291240
75,2018,9,Grand Crossing,100320,97750
83,2018,9,McKinley Park,238091,235089
88,2018,9,Canaryville,246393,245774
89,2018,9,Roscoe Village,742021,742249
110,2018,9,Pilsen,311770,311441
115,2018,9,Ravenswood Manor,596313,592077
144,2018,9,Oakland,323558,324095
209,2018,9,Beverly Woods,209564,212494
241,2018,9,Ranch Triangle,728479,732105
259,2018,9,Stony Island Park,155540,153810
264,2018,9,Winneconna Parkway,102007,99936
276,2018,9,Calumet River,72113,71473
278,2018,9,Old Irving Park,405482,404358
329,2018,9,Lakewood - Balmoral,1009973,1007444
404,2018,9,Princeton Park,111833,112082
409,2018,9,Pulaski Park,359517,358828
418,2018,9,South Austin,155052,154542
429,2018,9,Beverly,340049,340185
456,2018,9,Morgan Park,146227,145205
488,2018,9,Belmont Gardens,269273,273518
580,2018,9,River's Edge,614549,619770
592,2018,9,West Englewood,71951,71157
614,2018,9,Cottage Grove Heights,105866,102387
623,2018,9,Greektown,435313,429390
627,2018,9,University Village - Little Italy,361111,362259
641,2018,9,Montclare,258889,257671
667,2018,9,Near North,422174,423920
682,2018,9,The Villa,511427,512931
744,2018,9,Logan Square,387402,387565
764,2018,9,Schorsch Forest View,336715,338299
771,2018,9,Old Town,407291,405783
778,2018,9,Kennedy Park,224391,224388
796,2018,9,Sleepy Hollow,185235,187328
812,2018,9,Fifth City,179630,176240
840,2018,9,East Garfield Park,152897,151622
864,2018,9,Riverdale,64389,63383
944,2018,9,Irving Woods,272011,272073
956,2018,9,Hyde Park,389928,390653
975,2018,9,Archer Heights,202029,200990
1029,2018,9,West Town,485239,486555
1032,2018,9,West Lawn,196226,196848
1035,2018,9,Clearing,223047,222931
1044,2018,9,Edgewater Glen,447306,450190
1047,2018,9,Wrigleyville,477420,478879
1049,2018,9,The Gap,372785,371792
1107,2018,9,Norwood Park West,322160,321569
1149,2018,9,Marquette Park,152982,152628
1186,2018,9,Brainerd,134415,136111
1191,2018,9,Belmont Heights,266884,266089
1216,2018,9,Irving Park,399525,399056
1218,2018,9,Galewood,267589,264913
9,2018,10,Chinatown,331699,330499
22,2018,10,Cottage Grove Heights,108991,110480
27,2018,10,West Beverly,253418,253560
84,2018,10,Englewood,52399,52058
120,2018,10,Dunning,256674,255959
140,2018,10,Rogers Park,218421,218650
204,2018,10,Burnside,118914,118681
220,2018,10,Calumet Heights,140089,139793
236,2018,10,Ranch Triangle,726684,731489
270,2018,10,LeClaire Courts,179498,180000
301,2018,10,Budlong Woods,305012,305749
306,2018,10,Eden Green,62331,61223
309,2018,10,Schorsch Village,288712,288150
338,2018,10,Old Norwood Park,400102,402277
340,2018,10,Oakland,323320,324384
358,2018,10,Schorsch Forest View,335325,333046
411,2018,10,Gladstone Park,306513,306468
413,2018,10,Longwood Manor,133470,134376
507,2018,10,Edgewater Glen,446407,449886
508,2018,10,Uptown,293160,293460
529,2018,10,Graceland West,637739,639723
531,2018,10,Kelvin Park,262932,267042
538,2018,10,West Elsdon,191539,190906
560,2018,10,Hanson Park,235347,236149
618,2018,10,Sheffield Neighbors,1036869,1035885
620,2018,10,Garfield Ridge,231095,231279
622,2018,10,Montclare,259943,259877
628,2018,10,Bridgeport,342124,341763
711,2018,10,Galewood,268890,269891
738,2018,10,Back of the Yards,91464,91656
749,2018,10,The Gap,372309,371792
761,2018,10,Clearing,223156,223202
814,2018,10,West Loop Gate,345810,346270
833,2018,10,The Robert Taylor Homes,95670,95331
855,2018,10,Belmont Central,256748,257798
876,2018,10,Stateway Gardens,240584,237191
907,2018,10,South Commons,117555,117907
940,2018,10,Lithuanian Plaza,144753,146300
954,2018,10,West Humboldt Park,179589,175619
1036,2018,10,The Island,188142,185935
1140,2018,10,Portage Park,290521,290596
7,2018,11,Belmont Terrace,272143,271473
33,2018,11,Roscoe Village,743323,742249
51,2018,11,Brynford Park,371479,375829
53,2018,11,Ravenswood,475427,475680
116,2018,11,Albany Park,320483,320461
138,2018,11,South Austin,159325,156818
148,2018,11,Goose Island,482413,482651
150,2018,11,Uptown,294248,294572
162,2018,11,East Garfield Park,159160,155814
219,2018,11,Schorsch Village,288631,288418
244,2018,11,Little Village,146223,145403
248,2018,11,North Park,336274,336455
261,2018,11,Heart of Italy,253117,251940
299,2018,11,University Village - Little Italy,359890,360630
308,2018,11,Budlong Woods,306212,306567
343,2018,11,North Kenwood,282777,282168
349,2018,11,Wrightwood,176980,175243
