,RegionName,variable,value
261,O'Hare,1997-02,153142.0
262,Near West Side,1997-02,150991.0
263,Galewood,1997-02,122670.0
264,Park Manor,1997-02,69382.0
265,Montclare,1997-02,125433.0
266,Gold Coast,1997-02,240480.0
267,Irving Park,1997-02,165973.0
268,Scottsdale,1997-02,116238.0
269,West Humboldt Park,1997-02,0.0
270,Lincoln Park,1997-02,243488.0
271,West Garfield Park,1997-02,0.0
272,Ashburn,1997-02,107195.0
273,McKinley Park,1997-02,68295.0
274,Woodlawn,1997-02,89046.0
275,Beverly,1997-02,200624.0
276,Brainerd,1997-02,85128.0
277,Belmont Heights,1997-02,150514.0
278,Belmont Gardens,1997-02,103190.0
279,Wicker Park,1997-02,225275.0
280,Old Irving Park,1997-02,199687.0
281,The Loop,1997-02,178273.0
282,Calumet Heights,1997-02,91756.0
283,Grand Crossing,1997-02,0.0
284,Old Town,1997-02,187497.0
285,Norwood Park East,1997-02,166208.0
286,Washington Park,1997-02,0.0
287,Edison Park,1997-02,184545.0
288,Pilsen,1997-02,173034.0
289,Roscoe Village,1997-02,269322.0
290,Sheffield Neighbors,1997-02,447887.0
291,Wrightwood Neighbors,1997-02,348398.0
292,Wrightwood,1997-02,111572.0
293,Budlong Woods,1997-02,113355.0
294,Burnside,1997-02,52742.0
295,Fernwood,1997-02,0.0
296,Noble Square,1997-02,244616.0
297,Rosemoor,1997-02,80977.0
298,Kenwood,1997-02,193490.0
299,Longwood Manor,1997-02,0.0
300,Schorsch Village,1997-02,160165.0
301,Mayfair,1997-02,156912.0
302,North Mayfair,1997-02,145370.0
303,West Woodlawn,1997-02,0.0
304,Sauganash,1997-02,222639.0
305,East Ukrainian Village,1997-02,195415.0
306,Dunning,1997-02,154401.0
307,Old Town Triangle,1997-02,237466.0
308,Hollywood Park,1997-02,182052.0
309,Kilbourn Park,1997-02,146885.0
310,Norwood Park West,1997-02,173877.0
311,West Loop Gate,1997-02,0.0
312,East Chatham,1997-02,0.0
313,Hegewisch,1997-02,61289.0
314,New Eastside,1997-02,236245.0
315,Lake Calumet,1997-02,0.0
316,North Park,1997-02,178848.0
317,River North,1997-02,179696.0
318,Ukrainian Village,1997-02,183404.0
319,Canaryville,1997-02,129420.0
320,Tri-Taylor,1997-02,109499.0
321,Calumet River,1997-02,0.0
322,Arcadia Terrace,1997-02,178728.0
323,East Hyde Park,1997-02,136314.0
324,Fulton River District,1997-02,194368.0
325,Irving Woods,1997-02,156175.0
326,Union Ridge,1997-02,163450.0
327,Washington Heights,1997-02,0.0
328,Big Oaks,1997-02,193363.0
329,Edgebrook,1997-02,221519.0
330,South Deering,1997-02,55555.0
331,Lincoln Square,1997-02,154087.0
332,Kelvin Park,1997-02,136893.0
333,West Chatham,1997-02,0.0
334,Lathrop Homes,1997-02,307584.0
335,Douglas Park,1997-02,0.0
336,Homan Square,1997-02,0.0
337,West Chesterfield,1997-02,67878.0
338,East Beverly,1997-02,161033.0
339,West Beverly,1997-02,131630.0
340,Goose Island,1997-02,217548.0
341,Bowmanville,1997-02,0.0
342,Oriole Park,1997-02,174809.0
343,Hanson Park,1997-02,135687.0
344,Ranch Triangle,1997-02,352724.0
345,Wrigleyville,1997-02,219536.0
346,North Kenwood,1997-02,144598.0
347,Vittum Park,1997-02,0.0
348,Wildwood,1997-02,203940.0
349,Old Norwood Park,1997-02,202839.0
350,Oakland,1997-02,168306.0
351,Ida B. Wells - Darrow Homes,1997-02,0.0
352,Pulaski Park,1997-02,215567.0
353,Avalon Park,1997-02,93578.0
354,Lake Meadows,1997-02,258462.0
355,Ravenswood Manor,1997-02,262597.0
356,West De Paul,1997-02,397085.0
357,Chinatown,1997-02,160408.0
358,Andersonville,1997-02,168313.0
359,Stony Island Park,1997-02,103240.0
360,West Morgan Park,1997-02,121423.0
361,Belmont Terrace,1997-02,140084.0
362,Magnolia Glen,1997-02,145846.0
363,Altgeld Gardens,1997-02,0.0
364,Graceland West,1997-02,292554.0
365,Marynook,1997-02,91916.0
366,The Bush,1997-02,0.0
367,Dearborn Park,1997-02,184755.0
368,Fifth City,1997-02,0.0
369,Lakewood - Balmoral,1997-02,394505.0
370,The Gap,1997-02,0.0
371,South East Ravenswood,1997-02,320778.0
372,Kennedy Park,1997-02,137564.0
373,The Robert Taylor Homes,1997-02,0.0
374,Jackson Park Highlands,1997-02,0.0
375,O'Hare International Airport,1997-02,0.0
376,Princeton Park,1997-02,0.0
377,Printers Row,1997-02,142583.0
378,River West,1997-02,0.0
379,Illinois Medical District,1997-02,0.0
380,Gladstone Park,1997-02,174006.0
381,Cottage Grove Heights,1997-02,0.0
382,East Pilsen,1997-02,167396.0
383,Fuller Park,1997-02,0.0
384,Ravenswood Gardens,1997-02,196658.0
385,Sauganash Woods,1997-02,273577.0
386,River's Edge,1997-02,0.0
387,LeClaire Courts,1997-02,0.0
388,Pill Hill,1997-02,82642.0
389,South Old Irving Park,1997-02,160068.0
390,Tally's Corner,1997-02,214467.0
391,South Commons,1997-02,0.0
392,Chrysler Village,1997-02,0.0
393,Parkview,1997-02,107511.0
394,Pullman,1997-02,0.0
395,Peterson Park,1997-02,208537.0
396,Beverly Woods,1997-02,123718.0
397,Greektown,1997-02,0.0
398,Forest Glen,1997-02,174656.0
399,Sleepy Hollow,1997-02,0.0
400,The Island,1997-02,0.0
401,Edgewater Glen,1997-02,0.0
402,Golden Gate,1997-02,0.0
403,Marycrest,1997-02,199276.0
404,Winneconna Parkway,1997-02,0.0
405,Stateway Gardens,1997-02,0.0
406,Lithuanian Plaza,1997-02,0.0
407,Heart of Italy,1997-02,0.0
408,Old Edgebrook,1997-02,284345.0
409,The Villa,1997-02,227513.0
410,Beverly View,1997-02,85033.0
411,Eden Green,1997-02,0.0
412,Mount Greenwood Heights,1997-02,130549.0
413,Cabrini Green,1997-02,0.0
414,Schorsch Forest View,1997-02,192234.0
415,Riverdale,1997-02,0.0
416,Groveland Park,1997-02,0.0
417,Brynford Park,1997-02,250421.0
418,Logan Square,1997-03,147053.0
419,Little Village,1997-03,0.0
